Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp,TimePeriod,Area
B14,3,5/28/2018 13:49,5/28/2018,13:49:11,Deer - Doe,5,5/28/2018 13:49,Pre,Outside
B14,4,5/30/2018 3:06,5/30/2018,3:06:55,Deer - Doe,5,5/30/2018 3:06,Pre,Outside
B14,4,5/30/2018 5:43,5/30/2018,5:43:56,Deer - Doe,5,5/30/2018 5:43,Pre,Outside
B14,4,5/31/2018 20:33,5/31/2018,20:33:52,Deer - Buck,5,5/31/2018 20:33,Pre,Outside
B14,3,5/31/2018 11:36,5/31/2018,11:36:14,Deer - Doe,5,5/31/2018 11:36,Pre,Outside
D14,3,5/31/2018 21:49,5/31/2018,21:49:07,Deer - Doe,5,5/31/2018 21:49,Pre,Outside
A13,4,6/1/2018 11:54,6/1/2018,11:54:05,Deer - Buck,6,6/1/2018 11:54,Pre,Outside
B14,3,6/1/2018 11:03,6/1/2018,11:03:11,Deer - Doe,6,6/1/2018 11:03,Pre,Outside
E13,4,6/1/2018 3:02,6/1/2018,3:02:40,Deer - Buck,6,6/1/2018 3:02,Pre,Outside
B14,4,6/2/2018 20:28,6/2/2018,20:28:59,Deer - Buck,6,6/2/2018 20:28,Pre,Outside
B14,4,6/2/2018 3:59,6/2/2018,3:59:15,Deer - Doe,6,6/2/2018 3:59,Pre,Outside
B14,4,6/2/2018 22:58,6/2/2018,22:58:03,Deer - Doe,6,6/2/2018 22:58,Pre,Outside
D12,2,6/2/2018 0:14,6/2/2018,0:14:59,Deer - Doe,6,6/2/2018 0:14,Pre,Outside
B14,3,6/3/2018 17:39,6/3/2018,17:39:43,Deer - Doe,6,6/3/2018 17:39,Pre,Outside
D12,3,6/3/2018 8:10,6/3/2018,8:10:01,Deer - Doe,6,6/3/2018 8:10,Pre,Outside
D14,2,6/3/2018 5:09,6/3/2018,5:09:38,Deer - Doe,6,6/3/2018 5:09,Pre,Outside
D12,4,6/4/2018 7:32,6/4/2018,7:32:32,Deer - Doe,6,6/4/2018 7:32,Pre,Outside
B14,3,6/6/2018 12:00,6/6/2018,12:00:10,Deer - Doe,6,6/6/2018 12:00,Pre,Outside
D12,3,6/6/2018 8:17,6/6/2018,8:17:43,Deer - Doe,6,6/6/2018 8:17,Pre,Outside
D14,3,6/6/2018 6:16,6/6/2018,6:16:41,Deer - Doe,6,6/6/2018 6:16,Pre,Outside
B14,2,6/7/2018 10:41,6/7/2018,10:41:09,Deer - Doe,6,6/7/2018 10:41,Pre,Outside
D12,2,6/7/2018 21:15,6/7/2018,21:15:53,Deer - Doe,6,6/7/2018 21:15,Pre,Outside
E13,4,6/7/2018 10:20,6/7/2018,10:20:17,Deer - Doe,6,6/7/2018 10:20,Pre,Outside
B14,3,6/8/2018 21:05,6/8/2018,21:05:10,Deer - Doe,6,6/8/2018 21:05,Pre,Outside
B14,3,6/9/2018 7:05,6/9/2018,7:05:19,Deer - Doe,6,6/9/2018 7:05,Pre,Outside
B14,3,6/9/2018 21:02,6/9/2018,21:02:11,Deer - Doe,6,6/9/2018 21:02,Pre,Outside
B14,4,6/9/2018 7:03,6/9/2018,7:03:05,Deer - Doe,6,6/9/2018 7:03,Pre,Outside
B14,4,6/9/2018 21:02,6/9/2018,21:02:29,Deer - Doe,6,6/9/2018 21:02,Pre,Outside
E15,3,6/9/2018 4:13,6/9/2018,4:13:02,Deer - Buck,6,6/9/2018 4:13,Pre,Outside
E15,4,6/9/2018 3:59,6/9/2018,3:59:44,Deer - Buck,6,6/9/2018 3:59,Pre,Outside
