,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
634,B12,3,7/28/2018 9:45,7/28/2018,9:45:16,Deer - Doe,7,7/28/2018 9:45
635,B14,2,7/28/2018 21:10,7/28/2018,21:10:48,Deer - Buck,7,7/28/2018 21:10
636,B14,3,7/28/2018 9:57,7/28/2018,9:57:43,Deer - Buck,7,7/28/2018 9:57
637,B14,3,7/28/2018 21:03,7/28/2018,21:03:56,Deer - Buck,7,7/28/2018 21:03
638,B14,2,7/28/2018 11:19,7/28/2018,11:19:08,Deer - Doe,7,7/28/2018 11:19
639,B14,2,7/28/2018 21:45,7/28/2018,21:45:03,Deer - Doe,7,7/28/2018 21:45
640,B14,3,7/28/2018 11:48,7/28/2018,11:48:19,Deer - Doe,7,7/28/2018 11:48
641,B14,3,7/28/2018 12:55,7/28/2018,12:55:10,Deer - Doe,7,7/28/2018 12:55
642,B14,3,7/28/2018 13:47,7/28/2018,13:47:48,Deer - Doe,7,7/28/2018 13:47
643,B14,3,7/28/2018 20:22,7/28/2018,20:22:39,Deer - Doe,7,7/28/2018 20:22
644,B14,3,7/28/2018 20:45,7/28/2018,20:45:00,Deer - Doe,7,7/28/2018 20:45
645,B14,3,7/28/2018 21:09,7/28/2018,21:09:54,Deer - Doe,7,7/28/2018 21:09
646,B14,3,7/28/2018 21:41,7/28/2018,21:41:05,Deer - Doe,7,7/28/2018 21:41
647,B14,4,7/28/2018 21:41,7/28/2018,21:41:55,Deer - Doe,7,7/28/2018 21:41
648,B14,4,7/28/2018 22:15,7/28/2018,22:15:35,Deer - Doe,7,7/28/2018 22:15
651,D14,2,7/28/2018 4:22,7/28/2018,4:22:25,Deer - Doe,7,7/28/2018 4:22
652,D14,4,7/28/2018 5:45,7/28/2018,5:45:38,Deer - Doe,7,7/28/2018 5:45
656,B14,2,7/29/2018 22:35,7/29/2018,22:35:45,Deer - Buck,7,7/29/2018 22:35
657,B14,3,7/29/2018 7:02,7/29/2018,7:02:11,Deer - Buck,7,7/29/2018 7:02
658,B14,1,7/29/2018 21:47,7/29/2018,21:47:46,Deer - Doe,7,7/29/2018 21:47
659,B14,2,7/29/2018 21:44,7/29/2018,21:44:34,Deer - Doe,7,7/29/2018 21:44
660,B14,3,7/29/2018 9:12,7/29/2018,9:12:31,Deer - Doe,7,7/29/2018 9:12
661,B14,3,7/29/2018 10:30,7/29/2018,10:30:10,Deer - Doe,7,7/29/2018 10:30
662,B14,3,7/29/2018 10:58,7/29/2018,10:58:42,Deer - Doe,7,7/29/2018 10:58
663,B14,3,7/29/2018 11:31,7/29/2018,11:31:52,Deer - Doe,7,7/29/2018 11:31
664,D14,4,7/29/2018 5:50,7/29/2018,5:50:07,Deer - Doe,7,7/29/2018 5:50
665,D16,3,7/29/2018 20:51,7/29/2018,20:51:42,Deer - Doe,7,7/29/2018 20:51
666,E13,4,7/31/2018 7:26,7/31/2018,7:26:27,Deer - Doe,7,7/31/2018 7:26
667,E15,2,8/1/2018 17:06,8/1/2018,17:06:58,Deer - Doe,8,8/1/2018 17:06
668,B14,4,8/2/2018 20:50,8/2/2018,20:50:08,Deer - Doe,8,8/2/2018 20:50
669,C17,3,8/2/2018 7:54,8/2/2018,7:54:13,Deer - Doe,8,8/2/2018 7:54
670,E13,3,8/2/2018 3:43,8/2/2018,3:43:45,Deer - Buck,8,8/2/2018 3:43
671,E13,4,8/2/2018 8:22,8/2/2018,8:22:58,Deer - Doe,8,8/2/2018 8:22
672,B14,3,8/3/2018 1:19,8/3/2018,1:19:37,Deer - Doe,8,8/3/2018 1:19
673,B14,3,8/3/2018 21:51,8/3/2018,21:51:47,Deer - Doe,8,8/3/2018 21:51
674,B14,4,8/3/2018 1:18,8/3/2018,1:18:55,Deer - Doe,8,8/3/2018 1:18
675,B14,4,8/3/2018 23:48,8/3/2018,23:48:24,Deer - Doe,8,8/3/2018 23:48
676,D12,4,8/3/2018 5:27,8/3/2018,5:27:14,Deer - Doe,8,8/3/2018 5:27
677,E15,3,8/3/2018 2:59,8/3/2018,2:59:19,Deer - Doe,8,8/3/2018 2:59
678,B14,4,8/4/2018 21:25,8/4/2018,21:25:16,Deer - Buck,8,8/4/2018 21:25
679,B14,2,8/4/2018 10:06,8/4/2018,10:06:05,Deer - Doe,8,8/4/2018 10:06
680,B14,3,8/4/2018 23:49,8/4/2018,23:49:04,Deer - Doe,8,8/4/2018 23:49
681,B14,4,8/4/2018 23:49,8/4/2018,23:49:09,Deer - Doe,8,8/4/2018 23:49
682,E13,3,8/4/2018 0:26,8/4/2018,0:26:06,Deer - Buck,8,8/4/2018 0:26
683,E13,4,8/4/2018 23:06,8/4/2018,23:06:11,Deer - Doe,8,8/4/2018 23:06
684,B14,3,8/5/2018 3:27,8/5/2018,3:27:46,Deer - Doe,8,8/5/2018 3:27
685,E13,4,8/5/2018 22:35,8/5/2018,22:35:53,Deer - Doe,8,8/5/2018 22:35
686,B14,3,8/7/2018 20:00,8/7/2018,20:00:47,Deer - Doe,8,8/7/2018 20:00
687,B14,3,8/7/2018 21:01,8/7/2018,21:01:33,Deer - Doe,8,8/7/2018 21:01
688,D14,3,8/7/2018 20:59,8/7/2018,20:59:05,Deer - Doe,8,8/7/2018 20:59
