"","Station","BCI","DateTimeOriginal","Date","Time","Species","Month","TimeStamp"
"403","C09",2,"2018-05-28 0:46:57","5/28/2018","0:46:57","Deer - Doe",5,2018-05-28 00:46:57
"404","D04",5,"2018-05-28 4:27:17","5/28/2018","4:27:17","Deer - Buck",5,2018-05-28 04:27:17
"405","E05",4,"2018-05-28 10:20:03","5/28/2018","10:20:03","Deer - Buck",5,2018-05-28 10:20:03
"406","E05",3,"2018-05-28 2:29:13","5/28/2018","2:29:13","Deer - Doe",5,2018-05-28 02:29:13
"407","E05",3,"2018-05-28 5:44:55","5/28/2018","5:44:55","Deer - Doe",5,2018-05-28 05:44:55
"408","E05",4,"2018-05-29 0:15:44","5/29/2018","0:15:44","Deer - Buck",5,2018-05-29 00:15:44
"409","E05",4,"2018-05-29 0:57:08","5/29/2018","0:57:08","Deer - Buck",5,2018-05-29 00:57:08
"410","E05",2,"2018-05-29 2:57:59","5/29/2018","2:57:59","Deer - Doe",5,2018-05-29 02:57:59
"411","E05",4,"2018-05-29 0:48:56","5/29/2018","0:48:56","Deer - Doe",5,2018-05-29 00:48:56
"412","F06",4,"2018-05-29 21:31:47","5/29/2018","21:31:47","Deer - Doe",5,2018-05-29 21:31:47
"413","C09",3,"2018-05-30 4:03:04","5/30/2018","4:03:04","Deer - Doe",5,2018-05-30 04:03:04
"414","E05",5,"2018-05-30 1:33:41","5/30/2018","1:33:41","Deer - Buck",5,2018-05-30 01:33:41
"415","E05",3,"2018-05-30 1:22:00","5/30/2018","1:22:00","Deer - Doe",5,2018-05-30 01:22:00
"416","F10",3,"2018-05-30 0:11:29","5/30/2018","0:11:29","Deer - Buck",5,2018-05-30 00:11:29
"417","B10",4,"2018-05-31 6:26:00","5/31/2018","6:26:07","Deer - Doe",5,2018-05-31 06:26:00
"418","D04",3,"2018-05-31 23:44:20","5/31/2018","23:44:20","Deer - Doe",5,2018-05-31 23:44:20
"419","E05",3,"2018-05-31 9:08:17","5/31/2018","9:08:17","Deer - Doe",5,2018-05-31 09:08:17
"420","G09",4,"2018-05-31 12:17:11","5/31/2018","12:17:11","Deer - Buck",5,2018-05-31 12:17:11
"421","C03",4,"2018-06-01 9:56:39","6/1/2018","9:56:39","Deer - Buck",6,2018-06-01 09:56:39
"422","E07",4,"2018-06-01 19:32:58","6/1/2018","19:32:58","Deer - Doe",6,2018-06-01 19:32:58
