,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
111,B14,3,5/28/2018 13:49,5/28/2018,13:49:11,Deer - Doe,5,5/28/2018 13:49
112,B14,4,5/30/2018 3:06,5/30/2018,3:06:55,Deer - Doe,5,5/30/2018 3:06
113,B14,4,5/30/2018 5:43,5/30/2018,5:43:56,Deer - Doe,5,5/30/2018 5:43
114,B14,4,5/31/2018 20:33,5/31/2018,20:33:52,Deer - Buck,5,5/31/2018 20:33
115,B14,3,5/31/2018 11:36,5/31/2018,11:36:14,Deer - Doe,5,5/31/2018 11:36
116,D14,3,5/31/2018 21:49,5/31/2018,21:49:07,Deer - Doe,5,5/31/2018 21:49
117,A13,4,6/1/2018 11:54,6/1/2018,11:54:05,Deer - Buck,6,6/1/2018 11:54
118,B14,3,6/1/2018 11:03,6/1/2018,11:03:11,Deer - Doe,6,6/1/2018 11:03
119,E13,4,6/1/2018 3:02,6/1/2018,3:02:40,Deer - Buck,6,6/1/2018 3:02
120,B14,4,6/2/2018 20:28,6/2/2018,20:28:59,Deer - Buck,6,6/2/2018 20:28
121,B14,4,6/2/2018 3:59,6/2/2018,3:59:15,Deer - Doe,6,6/2/2018 3:59
122,B14,4,6/2/2018 22:58,6/2/2018,22:58:03,Deer - Doe,6,6/2/2018 22:58
123,D12,2,6/2/2018 0:14,6/2/2018,0:14:59,Deer - Doe,6,6/2/2018 0:14
124,B14,3,6/3/2018 17:39,6/3/2018,17:39:43,Deer - Doe,6,6/3/2018 17:39
125,D12,3,6/3/2018 8:10,6/3/2018,8:10:01,Deer - Doe,6,6/3/2018 8:10
126,D14,2,6/3/2018 5:09,6/3/2018,5:09:38,Deer - Doe,6,6/3/2018 5:09
127,D12,4,6/4/2018 7:32,6/4/2018,7:32:32,Deer - Doe,6,6/4/2018 7:32
128,B14,3,6/6/2018 12:00,6/6/2018,12:00:10,Deer - Doe,6,6/6/2018 12:00
129,D12,3,6/6/2018 8:17,6/6/2018,8:17:43,Deer - Doe,6,6/6/2018 8:17
130,D14,3,6/6/2018 6:16,6/6/2018,6:16:41,Deer - Doe,6,6/6/2018 6:16
131,B14,2,6/7/2018 10:41,6/7/2018,10:41:09,Deer - Doe,6,6/7/2018 10:41
133,D12,2,6/7/2018 21:15,6/7/2018,21:15:53,Deer - Doe,6,6/7/2018 21:15
134,E13,4,6/7/2018 10:20,6/7/2018,10:20:17,Deer - Doe,6,6/7/2018 10:20
135,B14,3,6/8/2018 21:05,6/8/2018,21:05:10,Deer - Doe,6,6/8/2018 21:05
137,B14,3,6/9/2018 7:05,6/9/2018,7:05:19,Deer - Doe,6,6/9/2018 7:05
138,B14,3,6/9/2018 21:02,6/9/2018,21:02:11,Deer - Doe,6,6/9/2018 21:02
139,B14,4,6/9/2018 7:03,6/9/2018,7:03:05,Deer - Doe,6,6/9/2018 7:03
140,B14,4,6/9/2018 21:02,6/9/2018,21:02:29,Deer - Doe,6,6/9/2018 21:02
142,E15,3,6/9/2018 4:13,6/9/2018,4:13:02,Deer - Buck,6,6/9/2018 4:13
143,E15,4,6/9/2018 3:59,6/9/2018,3:59:44,Deer - Buck,6,6/9/2018 3:59
144,F10,3,6/9/2018 11:18,6/9/2018,11:18:05,Deer - Buck,6,6/9/2018 11:18
145,F10,4,6/9/2018 19:46,6/9/2018,19:46:29,Deer - Buck,6,6/9/2018 19:46
146,F10,4,6/9/2018 19:46,6/9/2018,19:46:55,Deer - Doe,6,6/9/2018 19:46
147,B14,4,6/10/2018 11:06,6/10/2018,11:06:12,Deer - Doe,6,6/10/2018 11:06
148,B14,4,6/10/2018 20:29,6/10/2018,20:29:45,Deer - Doe,6,6/10/2018 20:29
149,D12,4,6/10/2018 1:46,6/10/2018,1:46:52,Deer - Doe,6,6/10/2018 1:46
150,D14,2,6/10/2018 23:16,6/10/2018,23:16:37,Deer - Doe,6,6/10/2018 23:16
