"","X","CollarSerialNumber","AnimalID","Year","Julianday","Hour","Minute","Activity","Temperature","Latitude","Longitude","HDOP","NumSats","FixTime","X2D.3D","Date","Capture_Pasture","Time","TimeStamp","index"
"3053",3053,35755,"P4",18,234,2,0,2,14,39.03456,-123.10366,1.8,5,40,3,"8/22/18","James I","2018-08-22 2:0:0",2018-08-22 02:00:00,FALSE
"3054",3054,35755,"P4",18,234,0,0,10,17,39.03461,-123.10373,1.7,5,32,3,"8/22/18","James I","2018-08-22 0:0:0",2018-08-22 00:00:00,FALSE
"3055",3055,35755,"P4",18,233,20,0,14,19,39.03763,-123.10488,2,6,40,3,"8/21/18","James I","2018-08-21 20:0:0",2018-08-21 20:00:00,FALSE
"3056",3056,35755,"P4",18,233,18,0,5,22,39.0382,-123.10393,1.5,7,38,3,"8/21/18","James I","2018-08-21 18:0:0",2018-08-21 18:00:00,FALSE
"3057",3057,35755,"P4",18,233,16,0,0,25,39.039,-123.10401,2.1,4,54,3,"8/21/18","James I","2018-08-21 16:0:0",2018-08-21 16:00:00,FALSE
"3058",3058,35755,"P4",18,233,14,0,0,26,39.03827,-123.10385,1.4,7,35,3,"8/21/18","James I","2018-08-21 14:0:0",2018-08-21 14:00:00,FALSE
"3059",3059,35755,"P4",18,233,10,0,17,14,39.04023,-123.10452,3.3,3,54,2,"8/21/18","James I","2018-08-21 10:0:0",2018-08-21 10:00:00,FALSE
"3060",3060,35755,"P4",18,233,8,0,6,13,39.03789,-123.10411,2.8,3,41,2,"8/21/18","James I","2018-08-21 8:0:0",2018-08-21 08:00:00,FALSE
"3061",3061,35755,"P4",18,233,6,0,6,14,39.03596,-123.10316,1.3,7,38,3,"8/21/18","James I","2018-08-21 6:0:0",2018-08-21 06:00:00,FALSE
"3062",3062,35755,"P4",18,233,4,0,11,12,39.03409,-123.10341,3.7,3,58,2,"8/21/18","James I","2018-08-21 4:0:0",2018-08-21 04:00:00,FALSE
"3063",3063,35755,"P4",18,233,2,0,2,14,39.03461,-123.10368,1.2,6,40,3,"8/21/18","James I","2018-08-21 2:0:0",2018-08-21 02:00:00,FALSE
