,CollarSerialNumber,AnimalID,Year,Julianday,Hour,Minute,Activity,Temperature,Latitude,Longitude,HDOP,NumSats,FixTime,X2D.3D,Date,Capture_Pasture,Time
3318,35755,P4,18,208,22,0,19,23,39.03098,-123.11045,5.7,4,59,3,7/27/2018,James I,7/27/2018 22:00
3319,35755,P4,18,208,20,0,4,26,39.03106,-123.11151,2.9,4,52,3,7/27/2018,James I,7/27/2018 20:00
3320,35755,P4,18,208,18,0,20,28,39.0329,-123.11373,2.7,4,32,3,7/27/2018,James I,7/27/2018 18:00
3321,35755,P4,18,208,14,0,3,30,39.04162,-123.09873,1.1,7,36,3,7/27/2018,James I,7/27/2018 14:00
3322,35755,P4,18,208,10,0,0,26,39.0418,-123.09886,1.7,6,39,3,7/27/2018,James I,7/27/2018 10:00
3323,35755,P4,18,208,8,0,18,24,39.04183,-123.09885,1.3,7,40,3,7/27/2018,James I,7/27/2018 8:00
3324,35755,P4,18,208,6,0,5,20,39.04284,-123.0983,1.7,6,39,3,7/27/2018,James I,7/27/2018 6:00
3325,35755,P4,18,208,4,0,5,20,39.04143,-123.09702,0.9,10,43,3,7/27/2018,James I,7/27/2018 4:00
3326,35755,P4,18,208,2,0,2,21,39.04006,-123.095,1.5,7,40,3,7/27/2018,James I,7/27/2018 2:00
3327,35755,P4,18,208,0,0,1,21,39.04006,-123.095,1,8,41,3,7/27/2018,James I,7/27/2018 0:00
3328,35755,P4,18,207,22,0,10,22,39.04023,-123.09517,1.2,9,39,3,7/26/2018,James I,7/26/2018 22:00
3329,35755,P4,18,207,20,0,17,25,39.03897,-123.09629,3.5,3,50,2,7/26/2018,James I,7/26/2018 20:00
3330,35755,P4,18,207,18,0,11,27,39.04791,-123.08974,7.5,3,40,2,7/26/2018,James I,7/26/2018 18:00
3331,35755,P4,18,207,16,0,5,30,39.04296,-123.09813,1.2,8,41,3,7/26/2018,James I,7/26/2018 16:00
3332,35755,P4,18,207,14,0,2,32,39.0432,-123.09815,2.6,4,40,3,7/26/2018,James I,7/26/2018 14:00
3333,35755,P4,18,207,12,0,18,30,39.04489,-123.09645,2.5,3,49,2,7/26/2018,James I,7/26/2018 12:00
3334,35755,P4,18,207,8,1,7,27,39.04143,-123.09691,1.8,6,59,3,7/26/2018,James I,7/26/2018 8:01
3335,35755,P4,18,207,6,0,13,22,39.03988,-123.09632,1.7,8,39,3,7/26/2018,James I,7/26/2018 6:00
3336,35755,P4,18,207,4,0,5,21,39.04019,-123.09519,0.9,9,42,3,7/26/2018,James I,7/26/2018 4:00
3337,35755,P4,18,207,2,0,7,23,39.04006,-123.09504,0.9,9,41,3,7/26/2018,James I,7/26/2018 2:00
3338,35755,P4,18,207,0,0,1,24,39.04508,-123.09938,4.6,3,41,2,7/26/2018,James I,7/26/2018 0:00
3339,35755,P4,18,206,22,0,14,23,39.03937,-123.09378,1.6,5,40,3,7/25/2018,James I,7/25/2018 22:00
