"","InputID","TargetID","Distance"
"14","A4","A4",569.569108959339
"19","A5b","A5b",256.518109410456
"38","D3b","D3b",1440.44974468126
"69","F2","F2",1357.32495498157
"75","H2","H2",687.596363259265
"108","H3","H3",42.0841464482823
"112","H4","H4",186.528465355331
"131","H5","H5",258.60605674554
"150","I5","I5",923.711694859074
"169","J1","J1",856.824728724342
"188","J2","J2",638.740736153712
"207","J3","J3",4400.4606544504
"226","J5","J5",431.918885189412
"245","K1","K1",618.535038621704
"264","K2","K2",302.81999184164
"286","K4","K4",134.303197264837
"305","P4","P4",1650.5039059028
"319","Q5","Q5",1714.47539764071
