Deer,Time,Location,Area(m2),Area(km2)
A5b,Post,,103796.4384,0.103796438
A5b,Pre,,90472.6178,0.090472618
D3b,Post,,214533.2656,0.214533266
D3b,Pre,,245479.3482,0.245479348
H2,Post,,378937.072,0.378937072
H2,Pre,,199352.8187,0.199352819
H4,Post,,166697.307,0.166697307
H4,Pre,,133937.6692,0.133937669
H5,Post,,366747.839,0.366747839
H5,Pre,,127523.6288,0.127523629
I5,Post,,114302.677,0.114302677
I5,Pre,,209374.757,0.209374757
J1,Post,,149890.4575,0.149890458
J1,Pre,,122089.4097,0.12208941
J2,Post,,267204.6913,0.267204691
J2,Pre,,143736.9056,0.143736906
J3,Post,,274748.2868,0.274748287
J3,Pre,,143348.7863,0.143348786
J5,Post,,322332.322,0.322332322
J5,Pre,,291508.123,0.291508123
K1,Post,,484655.966,0.484655966
K1,Pre,,156780.8067,0.156780807
K2,Post,,144480.3988,0.144480399
K2,Pre,,99652.075,0.099652075
Q5,Post,,237597.5414,0.237597541
Q5,Pre,,157077.1784,0.157077178
H3,Post,,841836.5301,0.84183653
H3,Pre,,901472.804,0.901472804
P4,Post,,613760.385,0.613760385
P4,Pre,,553186.1993,0.553186199
F2,Post,,167915.0713,0.167915071
F2,Pre,,228015.143,0.228015143
A4,Post,,167747.994,0.167747994
A4,Pre,,118884.2478,0.118884248
K4,Post,,41805.9565,0.041805957
K4,Pre,,31441.81928,0.031441819
