,Device.Name,AnimalID,Device.ID,Date...Time..GMT.,Date...Time..Local.,Latitude,Longitude,Altitude,Fix.Status,DOP,Temp..C.,Main..V.,Back..V.,Capture_Pasture,TimeStamp,TimeStamp1
1,HRG 196 K4,K4,41890,43309.41674,43309.0834,38.9997111,-123.0958961,223.88,3D-V Fix,1.8,22,3.52,3.52,Foster Bio,2018-7-28 03:00,7/28/18 3:00
2,HRG 194,A4,41888,43309.41701,43309.08368,39.0355447,-123.0909472,659.1,3D-V Fix,2.8,26,3.52,3.6,James I,2018-7-28 03:00,7/28/18 3:00
3,HRG 192 F2,F2,41886,43309.41733,43309.08399,39.0071478,-123.07282,350.07,3D Fix,3,26,3.52,0.16,Orchard,2018-7-28 03:00,7/28/18 3:00
4,HRG 196 K4,K4,41890,43309.45853,43309.1252,38.9996147,-123.0959656,238.69,3D-V Fix,3,20,3.52,3.52,Foster Bio,2018-7-28 04:00,7/28/18 4:00
5,HRG 194,A4,41888,43309.45898,43309.12565,39.0365797,-123.0923031,657.13,3D-V Fix,2.4,26,3.52,3.52,James I,2018-7-28 04:00,7/28/18 4:00
6,HRG 192 F2,F2,41886,43309.4595,43309.12617,NA,NA,NA,No Sats,25.4,24,3.52,0.16,Orchard,2018-7-28 04:01,7/28/18 4:01
7,HRG 194,A4,41888,43309.50005,43309.16671,39.0364961,-123.0922456,619.33,3D-V Fix,2.4,25,3.6,3.6,James I,2018-7-28 05:00,7/28/18 5:00
8,HRG 196 K4,K4,41890,43309.50035,43309.16701,38.9997153,-123.0958911,239.23,3D-V Fix,1.6,19,3.52,3.52,Foster Bio,2018-7-28 05:00,7/28/18 5:00
9,HRG 192 F2,F2,41886,43309.50219,43309.16885,NA,NA,NA,No Sats,25.4,24,3.52,0.16,Orchard,2018-7-28 05:03,7/28/18 5:03
10,HRG 194,A4,41888,43309.54184,43309.20851,39.0367508,-123.0921219,620.98,3D-V Fix,3.6,25,3.52,3.6,James I,2018-7-28 06:00,7/28/18 6:00
11,HRG 196 K4,K4,41890,43309.54185,43309.20852,38.9998214,-123.0958239,248.5,3D-V Fix,3.2,18,3.52,3.52,Foster Bio,2018-7-28 06:00,7/28/18 6:00
12,HRG 192 F2,F2,41886,43309.542,43309.20867,39.0151189,-123.06706,546.01,3D-V Fix,2.4,24,3.52,0.16,Orchard,2018-7-28 06:00,7/28/18 6:00
13,HRG 196 K4,K4,41890,43309.58368,43309.25035,38.9996561,-123.0958181,239.37,3D-V Fix,2.2,18,3.52,3.52,Foster Bio,2018-7-28 07:00,7/28/18 7:00
