NA,X.1,X,Device.Name,AnimalID,Device.ID,Date...Time..GMT.,Date...Time..Local.,Latitude,Longitude,Altitude,Fix.Status,DOP,Temp..C.,Main..V.,Back..V.,Capture_Pasture,TimeStamp,TimeStamp1
1,10483,10483,HRG 192 F2,F2,41886,43296.5837,43296.25037,39.0194003,-123.0621536,697.98,3D-V Fix,1.6,20,3.52,0.16,Orchard,2018-7-15 7:0:0,7/15/18 7:00
2,10484,10484,HRG 192 F2,F2,41886,43296.6251,43296.29177,39.01938,-123.0616489,707.12,3D-V Fix,3.4,23,3.6,0.16,Orchard,2018-7-15 8:0:0,7/15/18 8:00
3,10485,10485,HRG 192 F2,F2,41886,43296.66678,43296.33345,39.0193156,-123.0610675,715.95,3D-V Fix,3.2,25,3.6,0.16,Orchard,2018-7-15 9:0:0,7/15/18 9:00
4,10486,10486,HRG 192 F2,F2,41886,43296.70868,43296.37535,39.0176556,-123.0615231,674.94,3D-V Fix,1.6,28,3.52,0.16,Orchard,2018-7-15 10:0:0,7/15/18 10:00
5,10487,10487,HRG 192 F2,F2,41886,43296.75012,43296.41678,39.0143567,-123.0651583,578.99,3D-V Fix,2,32,3.6,0.08,Orchard,2018-7-15 11:0:0,7/15/18 11:00
6,10488,10488,HRG 192 F2,F2,41886,43296.79177,43296.45844,39.0138458,-123.0658311,571.14,3D-V Fix,3.2,33,3.6,0.08,Orchard,2018-7-15 12:0:0,7/15/18 12:00
7,10489,10489,HRG 192 F2,F2,41886,43296.83368,43296.50035,39.0150089,-123.0674803,542.03,3D-V Fix,2,33,3.6,0.08,Orchard,2018-7-15 13:0:0,7/15/18 13:00
8,10490,10490,HRG 192 F2,F2,41886,43296.87543,43296.54209,39.0149122,-123.0675,539.39,3D-V Fix,2.2,35,3.52,0.08,Orchard,2018-7-15 14:0:0,7/15/18 14:00
9,10491,10491,HRG 192 F2,F2,41886,43296.91677,43296.58344,39.0148381,-123.0674567,549.55,3D-V Fix,2,35,3.6,0.08,Orchard,2018-7-15 15:0:0,7/15/18 15:00
10,10492,10492,HRG 192 F2,F2,41886,43296.95836,43296.62502,39.0150067,-123.0672564,547.1,3D-V Fix,1.8,36,3.6,0.08,Orchard,2018-7-15 16:0:0,7/15/18 16:00
11,10493,10493,HRG 192 F2,F2,41886,43297.00035,43296.66701,39.0165283,-123.0690833,533.98,3D-V Fix,2.4,35,3.6,0.08,Orchard,2018-7-15 17:0:0,7/15/18 17:00
12,10494,10494,HRG 192 F2,F2,41886,43297.04186,43296.70853,39.0170222,-123.0683642,560.01,3D-V Fix,2.8,35,3.6,0.08,Orchard,2018-7-15 18:0:0,7/15/18 18:00
13,10495,10495,HRG 192 F2,F2,41886,43297.08345,43296.75012,39.0169656,-123.0673794,572.53,3D-V Fix,2,32,3.6,0.08,Orchard,2018-7-15 19:0:0,7/15/18 19:00
14,10496,10496,HRG 192 F2,F2,41886,43297.12535,43296.79201,39.0173211,-123.0656547,619.11,3D-V Fix,5.2,30,3.6,0.08,Orchard,2018-7-15 20:0:0,7/15/18 20:00
15,10497,10497,HRG 192 F2,F2,41886,43297.16722,43296.83389,39.0173467,-123.0656569,609.27,3D-V Fix,2.2,26,3.52,0.08,Orchard,2018-7-15 21:0:0,7/15/18 21:00
16,10498,10498,HRG 192 F2,F2,41886,43297.20844,43296.8751,39.0173628,-123.0656089,611.84,3D-V Fix,2.4,24,3.6,0.08,Orchard,2018-7-15 22:0:0,7/15/18 22:00
17,10499,10499,HRG 192 F2,F2,41886,43297.25013,43296.91679,39.0168433,-123.0645839,627.4,3D-V Fix,2.6,23,3.6,0.08,Orchard,2018-7-15 23:0:0,7/15/18 23:00
18,10500,10500,HRG 192 F2,F2,41886,43297.29193,43296.9586,39.0168669,-123.0646192,630.54,3D-V Fix,2.2,23,3.52,0.08,Orchard,2018-7-16 0:0:0,7/16/18 0:00
19,10501,10501,HRG 192 F2,F2,41886,43297.33352,43297.00019,39.0168881,-123.0647208,624.47,3D-V Fix,3.6,24,3.6,0.08,Orchard,2018-7-16 1:0:0,7/16/18 1:00
20,10502,10502,HRG 192 F2,F2,41886,43297.37537,43297.04204,39.0168436,-123.0647083,622.62,3D-V Fix,1.8,23,3.52,0.08,Orchard,2018-7-16 2:0:0,7/16/18 2:00
21,10503,10503,HRG 192 F2,F2,41886,43297.41676,43297.08343,39.0164014,-123.0648519,610.15,3D-V Fix,3.2,21,3.6,0.08,Orchard,2018-7-16 3:0:0,7/16/18 3:00
22,10504,10504,HRG 192 F2,F2,41886,43297.45895,43297.12561,39.0165125,-123.06464,613.98,3D-V Fix,4.2,19,3.52,0.16,Orchard,2018-7-16 4:0:0,7/16/18 4:00
23,10505,10505,HRG 192 F2,F2,41886,43297.50022,43297.16689,39.0172617,-123.0649661,611.38,3D-V Fix,3.4,21,3.6,0.16,Orchard,2018-7-16 5:0:0,7/16/18 5:00
24,10506,10506,HRG 192 F2,F2,41886,43297.54176,43297.20843,39.0172175,-123.0652106,617.45,3D-V Fix,3.8,22,3.6,0.16,Orchard,2018-7-16 6:0:0,7/16/18 6:00
25,10507,10507,HRG 192 F2,F2,41886,43297.58344,43297.2501,39.0142867,-123.0654606,586.98,3D-V Fix,2.8,22,3.6,0.16,Orchard,2018-7-16 7:0:0,7/16/18 7:00
26,10508,10508,HRG 192 F2,F2,41886,43297.62534,43297.292,39.0135942,-123.0657111,564.35,3D-V Fix,2.2,29,3.52,0.16,Orchard,2018-7-16 8:0:0,7/16/18 8:00
