,X.1,X,No,CollarID,AnimalID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,Latitude....,Longitude....,Height..m.,DOP,FixType,X3D_Error..m.,Sats,Mort..Status,Activity,Main..V.,Beacon..V.,Temp...C.,Capture_Pasture,Time,TimeStamp
1,25041,25041,3992,31868,H4,8/12/2018,10:00:38,8/12/2018,2:00:38,I,8/12/2018,14:03:38,38.99801,-123.09434,258,3.4,val. GPS-3D,0,0,1,0,3.6,3.68,21,Foster Bio,2018-8-12 2:0:0,2018-8-12 2:0:0
2,25042,25042,3993,31868,H4,8/12/2018,8:00:55,8/12/2018,0:00:55,I,8/12/2018,14:03:38,38.99664,-123.09299,258,5.6,val. GPS-3D,0,0,1,0,3.6,3.68,25,Foster Bio,2018-8-12 0:0:0,2018-8-12 0:0:0
3,25043,25043,3994,31868,H4,8/12/2018,7:00:45,8/11/2018,23:00:45,I,8/12/2018,14:03:38,38.99687,-123.09351,243,2.2,val. GPS-3D,0,0,1,0,3.6,3.68,25,Foster Bio,2018-8-11 23:0:0,2018-8-11 23:0:0
4,25044,25044,3995,31868,H4,8/12/2018,6:00:13,8/11/2018,22:00:13,I,8/12/2018,14:03:38,38.99841,-123.0942,244,5,val. GPS-3D,0,0,1,0,3.68,3.68,25,Foster Bio,2018-8-11 22:0:0,2018-8-11 22:0:0
5,25045,25045,3996,31868,H4,8/12/2018,5:00:10,8/11/2018,21:00:10,I,8/12/2018,14:03:38,38.99833,-123.09396,249,3.6,val. GPS-3D,0,0,1,0,3.68,3.68,25,Foster Bio,2018-8-11 21:0:0,2018-8-11 21:0:0
6,25046,25046,3997,31868,H4,8/12/2018,3:00:13,8/11/2018,19:00:13,I,8/12/2018,14:03:38,38.99626,-123.09451,224,3.8,val. GPS-3D,0,0,1,0,3.68,3.68,29,Foster Bio,2018-8-11 19:0:0,2018-8-11 19:0:0
7,25047,25047,3998,31868,H4,8/12/2018,2:00:36,8/11/2018,18:00:36,I,8/12/2018,2:03:30,38.99532,-123.09544,220,3.4,val. GPS-3D,0,0,1,0,3.6,3.68,32,Foster Bio,2018-8-11 18:0:0,2018-8-11 18:0:0
8,25048,25048,3999,31868,H4,8/12/2018,1:00:39,8/11/2018,17:00:39,I,8/12/2018,2:03:30,38.9953,-123.09549,209,3.8,val. GPS-3D,0,0,1,0,3.6,3.68,33,Foster Bio,2018-8-11 17:0:0,2018-8-11 17:0:0
9,25049,25049,4000,31868,H4,8/12/2018,0:00:11,8/11/2018,16:00:11,I,8/12/2018,2:03:30,38.99543,-123.09536,183,5.6,val. GPS-3D,0,0,1,0,3.68,3.68,34,Foster Bio,2018-8-11 16:0:0,2018-8-11 16:0:0
10,25050,25050,4001,31868,H4,8/11/2018,23:00:17,8/11/2018,15:00:17,I,8/12/2018,2:03:30,38.99539,-123.09527,198,3.4,val. GPS-3D,0,0,1,0,3.68,3.68,35,Foster Bio,2018-8-11 15:0:0,2018-8-11 15:0:0
11,25051,25051,4002,31868,H4,8/11/2018,22:00:36,8/11/2018,14:00:36,I,8/12/2018,2:03:30,38.99512,-123.09528,187,2.6,val. GPS-3D,0,0,1,0,3.6,3.68,36,Foster Bio,2018-8-11 14:0:0,2018-8-11 14:0:0
12,25052,25052,4003,31868,H4,8/11/2018,21:01:30,8/11/2018,13:01:30,I,8/12/2018,2:03:30,38.99501,-123.09539,206,2.2,val. GPS-3D,0,0,1,0,3.6,3.68,43,Foster Bio,2018-8-11 13:1:0,2018-8-11 13:1:0
13,25053,25053,4004,31868,H4,8/11/2018,20:00:38,8/11/2018,12:00:38,I,8/12/2018,2:03:30,38.99692,-123.09553,235,2.8,val. GPS-3D,0,0,1,0,3.6,3.68,35,Foster Bio,2018-8-11 12:0:0,2018-8-11 12:0:0
14,25054,25054,4005,31868,H4,8/11/2018,19:00:24,8/11/2018,11:00:24,I,8/12/2018,2:03:30,38.9974,-123.09611,212,3.2,val. GPS-3D,0,0,1,0,3.68,3.68,32,Foster Bio,2018-8-11 11:0:0,2018-8-11 11:0:0
15,25055,25055,4006,31868,H4,8/11/2018,18:00:38,8/11/2018,10:00:38,I,8/12/2018,2:03:30,38.99741,-123.09603,217,2.4,val. GPS-3D,0,0,1,0,3.6,3.68,29,Foster Bio,2018-8-11 10:0:0,2018-8-11 10:0:0
