"","X.1","X","No","CollarID","AnimalID","UTC_Date","UTC_Time","LMT_Date","LMT_Time","Origin","SCTS_Date","SCTS_Time","Latitude....","Longitude....","Height..m.","DOP","FixType","X3D_Error..m.","Sats","Mort..Status","Activity","Main..V.","Beacon..V.","Temp...C.","Capture_Pasture","Time","TimeStamp"
"1",25405,25405,4356,31868,"H4","7/28/18","0:00:09","7/27/18","16:00:09","I","7/28/18","14:03:32",38.99518,-123.09556,197,2.4,"val. GPS-3D",0,0,1,0,3.68,3.68,39,"Foster Bio","2018-07-27 16:0:9",2018-07-27 16:00:09
"2",25406,25406,4357,31868,"H4","7/27/18","23:00:34","7/27/18","15:00:34","I","7/28/18","14:03:32",38.99432,-123.09541,198,1.8,"val. GPS-3D",0,0,1,0,3.6,3.68,39,"Foster Bio","2018-07-27 15:0:34",2018-07-27 15:00:34
"3",25407,25407,4358,31868,"H4","7/27/18","22:00:40","7/27/18","14:00:40","I","7/28/18","14:03:32",38.99443,-123.0942,212,1.8,"val. GPS-3D",0,0,1,0,3.68,3.68,40,"Foster Bio","2018-07-27 14:0:40",2018-07-27 14:00:40
"4",25408,25408,4359,31868,"H4","7/27/18","21:00:20","7/27/18","13:00:20","I","7/28/18","14:03:32",38.99514,-123.095,232,4.4,"val. GPS-3D",0,0,1,0,3.68,3.68,38,"Foster Bio","2018-07-27 13:0:20",2018-07-27 13:00:20
"5",25409,25409,4360,31868,"H4","7/27/18","20:00:38","7/27/18","12:00:38","I","7/28/18","14:03:32",38.99499,-123.09525,204,4.2,"val. GPS-3D",0,0,1,0,3.6,3.68,37,"Foster Bio","2018-07-27 12:0:38",2018-07-27 12:00:38
"6",25410,25410,4361,31868,"H4","7/27/18","19:00:55","7/27/18","11:00:55","I","7/28/18","14:03:32",38.99499,-123.09524,215,2,"val. GPS-3D",0,0,1,0,3.6,3.68,37,"Foster Bio","2018-07-27 11:0:55",2018-07-27 11:00:55
"7",25411,25411,4362,31868,"H4","7/27/18","18:00:12","7/27/18","10:00:12","I","7/28/18","14:03:32",38.99542,-123.09574,210,3.8,"val. GPS-3D",0,0,1,0,3.68,3.68,33,"Foster Bio","2018-07-27 10:0:12",2018-07-27 10:00:12
"8",25412,25412,4363,31868,"H4","7/27/18","17:00:40","7/27/18","9:00:40","I","7/28/18","14:03:32",38.99542,-123.09551,222,2.6,"val. GPS-3D",0,0,1,0,3.6,3.68,28,"Foster Bio","2018-07-27 9:0:40",2018-07-27 09:00:40
"9",25413,25413,4364,31868,"H4","7/27/18","15:00:12","7/27/18","7:00:12","I","7/28/18","14:03:32",38.99495,-123.09734,210,2.2,"val. GPS-3D",0,0,1,0,3.68,3.68,23,"Foster Bio","2018-07-27 7:0:12",2018-07-27 07:00:12
"10",25414,25414,4365,31868,"H4","7/27/18","14:01:02","7/27/18","6:01:02","I","7/28/18","14:03:40",38.995,-123.0973,209,4.4,"val. GPS-3D",0,0,1,0,3.6,3.68,20,"Foster Bio","2018-07-27 6:1:2",2018-07-27 06:01:02
"11",25415,25415,4366,31868,"H4","7/27/18","13:00:12","7/27/18","5:00:12","I","7/28/18","14:03:40",38.99757,-123.09736,189,2.6,"val. GPS-3D",0,0,1,0,3.6,3.68,21,"Foster Bio","2018-07-27 5:0:12",2018-07-27 05:00:12
"12",25416,25416,4367,31868,"H4","7/27/18","12:00:38","7/27/18","4:00:38","I","7/28/18","14:03:40",38.99754,-123.09744,195,1.8,"val. GPS-3D",0,0,1,0,3.6,3.68,22,"Foster Bio","2018-07-27 4:0:38",2018-07-27 04:00:38
"13",25417,25417,4368,31868,"H4","7/27/18","11:00:10","7/27/18","3:00:10","I","7/28/18","14:03:40",38.99748,-123.09745,197,3.2,"val. GPS-3D",0,0,1,0,3.68,3.68,22,"Foster Bio","2018-07-27 3:0:10",2018-07-27 03:00:10
"14",25418,25418,4369,31868,"H4","7/27/18","10:00:40","7/27/18","2:00:40","I","7/28/18","14:03:40",38.99754,-123.09738,192,2.4,"val. GPS-3D",0,0,1,0,3.6,3.68,23,"Foster Bio","2018-07-27 2:0:40",2018-07-27 02:00:40
"15",25419,25419,4370,31868,"H4","7/27/18","9:00:40","7/27/18","1:00:40","I","7/28/18","14:03:40",38.99757,-123.09743,191,2,"val. GPS-3D",0,0,1,0,3.6,3.68,25,"Foster Bio","2018-07-27 1:0:40",2018-07-27 01:00:40
"16",25420,25420,4371,31868,"H4","7/27/18","8:00:15","7/27/18","0:00:15","I","7/28/18","14:03:40",38.99737,-123.09793,228,2.6,"val. GPS-3D",0,0,1,0,3.6,3.68,25,"Foster Bio","2018-07-27 0:0:15",2018-07-27 00:00:15
"17",25421,25421,4372,31868,"H4","7/27/18","7:00:39","7/26/18","23:00:39","I","7/28/18","14:03:40",38.99565,-123.0968,187,2.4,"val. GPS-3D",0,0,1,0,3.6,3.68,25,"Foster Bio","2018-07-26 23:0:39",2018-07-26 23:00:39
"18",25422,25422,4373,31868,"H4","7/27/18","6:00:08","7/26/18","22:00:08","I","7/28/18","14:03:40",38.9952,-123.09451,227,3.6,"val. GPS-3D",0,0,1,0,3.68,3.68,26,"Foster Bio","2018-07-26 22:0:8",2018-07-26 22:00:08
"19",25423,25423,4374,31868,"H4","7/27/18","5:00:38","7/26/18","21:00:38","I","7/28/18","14:03:40",38.99558,-123.09507,222,1.6,"val. GPS-3D",0,0,1,0,3.6,3.68,29,"Foster Bio","2018-07-26 21:0:38",2018-07-26 21:00:38
"20",25424,25424,4375,31868,"H4","7/27/18","4:00:17","7/26/18","20:00:17","I","7/28/18","14:03:40",38.99624,-123.09538,199,3.6,"val. GPS-3D",0,0,1,0,3.6,3.68,29,"Foster Bio","2018-07-26 20:0:17",2018-07-26 20:00:17
