"","AnimalID","Latitude","Longitude","TimeStamp","Easting","Northing","Sex"
"1","P4",39.03098,-123.11045,"2018-07-27 22:00:00",490440.111678965,4320220.27893406,"Buck"
"2","P4",39.03106,-123.11151,"2018-07-27 20:00:00",490348.375304909,4320229.26858308,"Buck"
"3","P4",39.0329,-123.11373,"2018-07-27 18:00:00",490156.480851593,4320433.69441343,"Buck"
"4","P4",39.04162,-123.09873,"2018-07-27 14:00:00",491455.806100863,4321399.85278244,"Buck"
"5","P4",39.0418,-123.09886,"2018-07-27 10:00:00",491444.577476561,4321419.83994446,"Buck"
"6","P4",39.04183,-123.09885,"2018-07-27 08:00:00",491445.446502501,4321423.16816117,"Buck"
"7","P4",39.04284,-123.0983,"2018-07-27 06:00:00",491493.165051723,4321535.19821584,"Buck"
"8","P4",39.04143,-123.09702,"2018-07-27 04:00:00",491603.768768684,4321378.60888994,"Buck"
"9","P4",39.04006,-123.095,"2018-07-27 02:00:00",491778.423332865,4321226.39289526,"Buck"
"10","P4",39.04006,-123.095,"2018-07-27 00:00:00",491778.423332865,4321226.39289526,"Buck"
"11","P4",39.04023,-123.09517,"2018-07-26 22:00:00",491763.730772218,4321245.27349222,"Buck"
"12","P4",39.03897,-123.09629,"2018-07-26 20:00:00",491666.654915942,4321105.55094995,"Buck"
"13","P4",39.04791,-123.08974,"2018-07-26 18:00:00",492234.4985998,4322097.06039816,"Buck"
"14","P4",39.04296,-123.09813,"2018-07-26 16:00:00",491507.891139728,4321548.49896195,"Buck"
"15","P4",39.0432,-123.09815,"2018-07-26 14:00:00",491506.189090582,4321575.13409275,"Buck"
"16","P4",39.04489,-123.09645,"2018-07-26 12:00:00",491653.504426899,4321762.51931277,"Buck"
"17","P4",39.04143,-123.09691,"2018-07-26 08:01:00",491613.288307126,4321378.59874223,"Buck"
"18","P4",39.03988,-123.09632,"2018-07-26 06:00:00",491664.165515582,4321206.53809103,"Buck"
"19","P4",39.04019,-123.09519,"2018-07-26 04:00:00",491761.99527274,4321240.83642832,"Buck"
"20","P4",39.04006,-123.09504,"2018-07-26 02:00:00",491774.96161571,4321226.39651128,"Buck"
"21","P4",39.04508,-123.09938,"2018-07-26 00:00:00",491399.97394371,4321783.87693996,"Buck"
"22","P4",39.03937,-123.09378,"2018-07-25 22:00:00",491883.926766393,4321149.71275197,"Buck"
"23","P4",39.04257,-123.09548,"2018-07-25 20:00:00",491737.17509853,4321504.9758451,"Buck"
"24","P4",39.04297,-123.09813,"2018-07-25 18:00:00",491507.892336927,4321549.60868124,"Buck"
"25","P4",39.04298,-123.0982,"2018-07-25 14:00:00",491501.835778352,4321550.72493815,"Buck"
"26","P4",39.04323,-123.09838,"2018-07-25 12:00:00",491486.288698383,4321578.48475345,"Buck"
"27","P4",39.04286,-123.09845,"2018-07-25 10:00:00",491480.186523055,4321537.43169352,"Buck"
"28","P4",39.03996,-123.09633,"2018-07-25 06:00:00",491663.309485382,4321215.41675699,"Buck"
"29","P4",39.03992,-123.09554,"2018-07-25 04:00:00",491731.673833848,4321210.90577817,"Buck"
"30","P4",39.04007,-123.09504,"2018-07-25 02:00:00",491774.962775138,4321227.50622999,"Buck"
"31","P4",39.04092,-123.09426,"2018-07-25 00:00:00",491842.563993436,4321321.76208914,"Buck"
"32","P4",39.0422,-123.09519,"2018-07-24 22:00:00",491762.228691237,4321463.88993282,"Buck"
"33","P4",39.04297,-123.09704,"2018-07-24 20:00:00",491602.220261232,4321549.50748256,"Buck"
"34","P4",39.0424,-123.09866,"2018-07-24 18:00:00",491461.957856745,4321486.40429993,"Buck"
"35","P4",39.04253,-123.09862,"2018-07-24 16:00:00",491465.435100923,4321500.8268956,"Buck"
"36","P4",39.04253,-123.09851,"2018-07-24 14:00:00",491474.954491838,4321500.81658036,"Buck"
"37","P4",39.04261,-123.09859,"2018-07-24 10:00:00",491468.040920853,4321509.70183492,"Buck"
"38","P4",39.04254,-123.09859,"2018-07-24 08:00:00",491468.032501246,4321501.93380042,"Buck"
"39","P4",39.04014,-123.09515,"2018-07-24 06:00:00",491765.451179694,4321235.28421293,"Buck"
"40","P4",39.04004,-123.095,"2018-07-24 04:00:00",491778.421014987,4321224.17345784,"Buck"
"41","P4",39.04004,-123.095,"2018-07-24 02:00:00",491778.421014987,4321224.17345784,"Buck"
"42","P4",39.04009,-123.09516,"2018-07-24 00:00:00",491764.579946917,4321229.73652461,"Buck"
"43","P4",39.03993,-123.09613,"2018-07-23 22:00:00",491680.614577516,4321212.06929058,"Buck"
"44","P4",39.03814,-123.09456,"2018-07-23 20:00:00",491816.280740333,4321013.28726288,"Buck"
"45","P4",39.03826,-123.09462,"2018-07-23 18:00:00",491811.101875166,4321026.60928252,"Buck"
"46","P4",39.03833,-123.0947,"2018-07-23 16:00:00",491804.186351851,4321034.38451567,"Buck"
"47","P4",39.03866,-123.09469,"2018-07-23 14:00:00",491805.089921156,4321071.00432228,"Buck"
"48","P4",39.0389,-123.09548,"2018-07-23 12:00:00",491736.7476124,4321097.70903006,"Buck"
"49","P4",39.03788,-123.09454,"2018-07-23 10:00:00",491817.98166056,4320984.43278763,"Buck"
"50","P4",39.03852,-123.09535,"2018-07-23 08:00:00",491747.954176484,4321055.52792795,"Buck"
"51","P4",39.03864,-123.09549,"2018-07-23 06:00:00",491735.851881955,4321068.85725833,"Buck"
"52","P4",39.04006,-123.09498,"2018-07-23 04:00:00",491780.154191443,4321226.39108782,"Buck"
"53","P4",39.03996,-123.09503,"2018-07-23 02:00:00",491775.815451957,4321215.29842012,"Buck"
"54","P4",39.03946,-123.09546,"2018-07-23 00:00:00",491738.54371291,4321159.85145204,"Buck"
"55","P4",39.04119,-123.09727,"2018-07-22 22:00:00",491582.104974076,4321351.99874059,"Buck"
"56","P4",39.04056,-123.09803,"2018-07-22 20:00:00",491516.258051502,4321282.15705737,"Buck"
