"AnimalID","Latitude","Longitude","TimeStamp","Easting","Northing","Sex"
"H4",38.99518,-123.09556,"2018-07-27 16:00:09",491724.729858838,4316246.04527837,"Doe"
"H4",38.99432,-123.09541,"2018-07-27 15:00:34",491737.619506309,4316150.59659034,"Doe"
"H4",38.99443,-123.0942,"2018-07-27 14:00:40",491842.41656308,4316162.69430034,"Doe"
"H4",38.99514,-123.095,"2018-07-27 13:00:20",491773.219913404,4316241.55569196,"Doe"
"H4",38.99499,-123.09525,"2018-07-27 12:00:38",491751.553075108,4316224.93265752,"Doe"
"H4",38.99499,-123.09524,"2018-07-27 11:00:55",491752.419053955,4316224.93175168,"Doe"
"H4",38.99542,-123.09574,"2018-07-27 10:00:12",491709.170285206,4316272.69469716,"Doe"
"H4",38.99542,-123.09551,"2018-07-27 09:00:40",491729.087678214,4316272.67377962,"Doe"
"H4",38.99495,-123.09734,"2018-07-27 07:00:12",491570.55874947,4316220.68522498,"Doe"
"H4",38.995,-123.0973,"2018-07-27 06:01:02",491574.028596038,4316226.23007331,"Doe"
"H4",38.99757,-123.09736,"2018-07-27 05:00:12",491569.137680299,4316511.43119439,"Doe"
"H4",38.99754,-123.09744,"2018-07-27 04:00:38",491562.206538151,4316508.10947337,"Doe"
"H4",38.99748,-123.09745,"2018-07-27 03:00:10",491561.333463989,4316501.45213648,"Doe"
"H4",38.99754,-123.09738,"2018-07-27 02:00:40",491567.402224834,4316508.10391467,"Doe"
"H4",38.99757,-123.09743,"2018-07-27 01:00:40",491563.076048396,4316511.43767854,"Doe"
"H4",38.99737,-123.09793,"2018-07-27 00:00:15",491519.754805991,4316489.28991728,"Doe"
"H4",38.99565,-123.0968,"2018-07-26 23:00:39",491617.4042167,4316298.3150853,"Doe"
"H4",38.9952,-123.09451,"2018-07-26 22:00:08",491815.65969827,4316248.1697949,"Doe"
"H4",38.99558,-123.09507,"2018-07-26 21:00:38",491767.209055689,4316290.38926704,"Doe"
"H4",38.99624,-123.09538,"2018-07-26 20:00:17",491740.440656719,4316363.65822166,"Doe"
"H4",38.99565,-123.09499,"2018-07-26 19:00:09",491774.144932837,4316298.15000827,"Doe"
"H4",38.99553,-123.09509,"2018-07-26 18:00:39",491765.471317791,4316284.84252448,"Doe"
"H4",38.99555,-123.09505,"2018-07-26 17:00:25",491768.937523712,4316287.05832819,"Doe"
"H4",38.99538,-123.0951,"2018-07-26 16:00:12",491764.587959976,4316268.19777583,"Doe"
"H4",38.99539,-123.09537,"2018-07-26 15:00:38",491741.207821749,4316269.33194125,"Doe"
"H4",38.9953,-123.09542,"2018-07-26 14:00:14",491736.867485478,4316259.34908594,"Doe"
"H4",38.99591,-123.09589,"2018-07-26 13:00:38",491696.237945886,4316327.08416836,"Doe"
"H4",38.99567,-123.09674,"2018-07-26 12:00:39",491622.602399631,4316300.52898371,"Doe"
"H4",38.99504,-123.09543,"2018-07-26 11:00:29",491735.971271077,4316230.49752954,"Doe"
"H4",38.99496,-123.0953,"2018-07-26 10:00:11",491747.219696484,4316221.60805782,"Doe"
"H4",38.99523,-123.09627,"2018-07-26 09:00:39",491663.251391254,4316251.65859644,"Doe"
"H4",38.99806,-123.09669,"2018-07-26 08:00:38",491627.213902234,4316565.74519016,"Doe"
"H4",38.99838,-123.09637,"2018-07-26 07:00:07",491654.961614973,4316601.22655516,"Doe"
"H4",38.99861,-123.09639,"2018-07-26 06:00:38",491653.25676113,4316626.7517367,"Doe"
"H4",38.99877,-123.09586,"2018-07-26 05:00:38",491699.169996029,4316644.45865543,"Doe"
"H4",38.99881,-123.09612,"2018-07-26 04:00:40",491676.660429928,4316648.92123559,"Doe"
"H4",38.99813,-123.09618,"2018-07-26 03:00:41",491671.385121399,4316573.46638898,"Doe"
"H4",38.99846,-123.09584,"2018-07-26 02:00:45",491700.865649388,4316610.05579703,"Doe"
"H4",38.99896,-123.09508,"2018-07-26 01:00:38",491766.734771439,4316665.47233712,"Doe"
"H4",38.99894,-123.09492,"2018-07-26 00:00:14",491780.587344937,4316663.23845877,"Doe"
"H4",38.99884,-123.09594,"2018-07-25 23:00:39",491692.250719297,4316652.23392814,"Doe"
"H4",38.99878,-123.09582,"2018-07-25 22:00:08",491702.634895044,4316645.56472017,"Doe"
"H4",38.99873,-123.09582,"2018-07-25 21:00:38",491702.629055568,4316640.01616598,"Doe"
"H4",38.99865,-123.09605,"2018-07-25 20:00:10",491682.703224818,4316631.15946523,"Doe"
"H4",38.9964,-123.09523,"2018-07-25 18:00:13",491753.448681206,4316381.39999127,"Doe"
"H4",38.99571,-123.09582,"2018-07-25 17:00:10",491702.276362942,4316304.88358129,"Doe"
"H4",38.99574,-123.09602,"2018-07-25 16:00:40",491684.960472187,4316308.23095739,"Doe"
"H4",38.99568,-123.09582,"2018-07-25 15:00:11",491702.272859489,4316301.55445052,"Doe"
"H4",38.99531,-123.09536,"2018-07-25 14:01:02",491742.064498103,4316260.45335278,"Doe"
"H4",38.99527,-123.09572,"2018-07-25 13:00:11",491710.884733574,4316256.04722344,"Doe"
"H4",38.99501,-123.09529,"2018-07-25 12:00:40",491748.091482398,4316227.15570208,"Doe"
"H4",38.99507,-123.09536,"2018-07-25 11:00:27",491742.036605336,4316233.82030906,"Doe"
"H4",38.99563,-123.09681,"2018-07-25 10:00:38",491616.535886122,4316296.09658548,"Doe"
"H4",38.99756,-123.09743,"2018-07-25 09:00:38",491563.074860908,4316510.32796792,"Doe"
"H4",38.99873,-123.09807,"2018-07-25 08:00:09",491507.794068956,4316640.22362392,"Doe"
"H4",38.99844,-123.09668,"2018-07-25 07:00:09",491628.124621522,4316607.91327901,"Doe"
"H4",38.99837,-123.09683,"2018-07-25 06:00:39",491615.127308033,4316600.15910696,"Doe"
"H4",38.99854,-123.09677,"2018-07-25 05:00:12",491620.342984932,4316619.01866642,"Doe"
"H4",38.99819,-123.09639,"2018-07-25 04:00:17",491653.207418116,4316580.14388418,"Doe"
"H4",38.99816,-123.09645,"2018-07-25 03:00:40",491648.008252321,4316576.82025422,"Doe"
"H4",38.99814,-123.09613,"2018-07-25 02:00:12",491675.715995971,4316574.57152711,"Doe"
"H4",38.99827,-123.09581,"2018-07-25 01:00:09",491703.441271556,4316588.96855838,"Doe"
"H4",38.99823,-123.09616,"2018-07-25 00:00:40",491673.128722812,4316584.56166696,"Doe"
"H4",38.99832,-123.09672,"2018-07-24 23:01:10",491624.646728029,4316594.60042855,"Doe"
"H4",38.99855,-123.09462,"2018-07-24 22:00:09",491806.52028853,4316619.93269596,"Doe"
"H4",38.99844,-123.09525,"2018-07-24 21:00:09",491751.953584382,4316607.78276111,"Doe"
"H4",38.9976,-123.09539,"2018-07-24 20:00:36",491739.732807785,4316514.57975483,"Doe"
"H4",38.99569,-123.09564,"2018-07-24 19:00:20",491717.861493049,4316302.64777252,"Doe"
"H4",38.99548,-123.09566,"2018-07-24 17:00:18",491716.105069251,4316279.34567703,"Doe"
"H4",38.99548,-123.09576,"2018-07-24 16:00:40",491707.445340467,4316279.3547797,"Doe"
"H4",38.99559,-123.09661,"2018-07-24 15:00:38",491633.850597457,4316291.63934893,"Doe"
"H4",38.99559,-123.09573,"2018-07-24 14:00:10",491710.056092986,4316291.55886036,"Doe"
"H4",38.99551,-123.09521,"2018-07-24 13:00:38",491755.077329843,4316282.63396334,"Doe"
"H4",38.99545,-123.09566,"2018-07-24 12:00:38",491716.101571666,4316276.0165464,"Doe"
"H4",38.99557,-123.0956,"2018-07-24 11:00:13",491721.311392706,4316289.32761198,"Doe"
"H4",38.99495,-123.0955,"2018-07-24 10:01:08",491729.898948301,4316220.51649401,"Doe"
"H4",38.99564,-123.0966,"2018-07-24 09:00:18",491634.722455611,4316297.18698137,"Doe"
