AnimalID,TAC_Paired_Post,MNSD_Paired_Post,MeanRT_Paired_Post,MeanT2R_Paired_Post,Mean_Dist_Hour_Paired_Post,Mean_Dist_Day_Paired_Post,TAC_Paired_Pre,MNSD_Paired_Pre,MeanRT_Paired_Pre,MeanT2r_Paired_Pre,Mean_Dist_Hour_Paired_Pre,Mean_Dist_Day_Paired_Pre,Straightness_Paired_Pre,Straightness_Paired_Post,HR_Paired_Pre,HR_Paired_Post,Distance
A5b,0.531508752,499964.5023,23.71307301,50.55113636,62.6928,1504.6272,0.497369368,214041.4815,16.69746377,46.11464968,58.54485,1405.0764,0.002482183,0.01205503,0.090472618,0.103796438,256.5181094
D3b,0.521296347,3326627.315,25.57310924,48.5372549,84.30651,2023.35624,0.51232861,454808.8434,14.98481973,86.89673913,50.36407,1208.73768,0.01763419,0.02527751,0.245479348,0.214533266,1440.449745
H2,0.518596192,603102.8224,13.43602694,61.13953488,110.1503,2643.6072,0.499973755,662296.4838,6.233564014,57.94052863,59.24598,1421.90352,0.01138217,0.00595859,0.199352819,0.378937072,687.5963633
H4,0.529588092,483369.1983,14.45428571,37.39930556,79.8663,1916.7912,0.530829904,421195.7435,20.59146341,40.73643411,64.57208,1549.72992,0.01566137,0.004401395,0.133937669,0.166697307,186.5284654
H5,0.496504829,1089244.292,11.72727273,66.79310345,79.42105,1906.1052,0.505572071,398224.5195,12.96745562,46.10810811,53.44898,1282.77552,0.01865989,0.01644453,0.127523629,0.366747839,258.6060567
I5,0.529906313,1338988.715,41.09326425,69.39795918,83.33869,2000.12856,0.511954468,730366.358,11.37762238,67.82809224,67.10586,1610.54064,0.01051441,0.001142708,0.209374757,0.114302677,923.7116949
J1,0.520030734,1275168.361,11.88380282,55.02840909,87.52162,2100.51888,0.507863244,186402.3127,12.57846715,57.3747412,57.64357,1383.44568,0.003326447,0.01329334,0.12208941,0.149890458,856.8247287
J2,0.517699331,1158310.182,8.031468531,77.22832981,92.28258,2214.78192,0.532309147,397704.097,5.180505415,66.36923077,53.38297,1281.19128,0.01148972,0.007920904,0.143736906,0.267204691,638.7407362
J3,0.520305692,14191035.59,10.44268078,40.02293578,119.7243,2873.3832,0.502155967,492935.2439,8.667272727,48.83908046,68.01547,1632.37128,0.01513095,0.05698803,0.143348786,0.274748287,4400.460654
J5,0.48585239,1318819.756,10.55851064,53.22244898,95.38282,2289.18768,0.50075536,554539567.3,31.92792793,66.74358974,181.2289,4349.4936,0.009066712,0.01469949,0.291508123,0.322332322,431.9188852
K1,0.522062486,4501133.09,9.859922179,61.13669065,88.21607,2117.18568,0.507370371,292623.7982,12.92047714,79.18598383,52.30505,1255.3212,0.00598842,0.02223319,0.156780807,0.484655966,618.5350386
K2,0.543118052,372678.7536,22.4507874,64.29919137,64.69763,1552.74312,0.531026397,256627.3555,10.9556962,90.59331476,43.63557,1047.25368,0.008404597,0.006709076,0.099652075,0.144480399,302.8199918
Q5,0.520316245,3165058.201,25.57094595,45.87827715,96.01547,2304.37128,0.512451677,3138176.224,16.89409722,49.64587525,66.86798,1604.83152,0.004184513,0.0179353,0.157077178,0.237597541,1714.475398
H3,0.4571196,7421076,48.51462,67.7479,93.9413,2254.5912,0.4931932,2453365,43.70488,66.666667,85.79118,2058.98832,0.006242983,0.03499627,0.901472804,0.84183653,42.08414645
P4,0.5128379,3982837,35.14167,86.2,85.79118,2058.98832,0.5219211,2688510,109.35686,68.08383,79.16572,1899.97728,0.004557635,0.02176305,0.553186199,0.613760385,1650.503906
F2,0.5403663,2985212.64,8.516234,52.19658,73.79901,1771.17624,0.4948359,1090633.9,4.530405,59.84259,73.70636,1768.95264,0.03236851,0.05607116,0.228015143,0.167915071,1357.324955
A4,0.468357,313579.72,7.736527,35.38346,85.26566,2046.37584,0.5510121,1023263.9,6.085227,40.25833,79.61469,1910.75256,0.005824458,0.01370646,0.118884248,0.167747994,569.569109
K4,0.4549575,57260.75,8.763636,35.26515,58.12143,1394.91432,0.5046674,58697.9,5.59887,34.48092,46.32088,1111.70112,0.01628445,0.01095161,0.031441819,0.041805957,134.3031973
